MonthDay,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01-Jan,,0.27,0.06,0.3,0.02,0.28,0.09,0.56,0.28,0.5,0.25,0.31,0.29,0.22,0.29,0.29,0.04,0.3,0.14,0.1,0.48,0.85,0.17,0.01,0.32,0.11
02-Jan,,0.27,0.14,0.32,0.17,0.28,2.29,2.27,0.24,0.27,1.04,0.26,0.29,0.3,0.31,0.29,0.29,0.29,0.28,0.1,0.81,0.2,0.17,1.34,0.28,0.19
03-Jan,,0.27,0.73,0.28,1.98,0.28,0.1,1.99,0.24,0.22,0.24,0.35,0.29,0.33,0.29,0.29,0.16,0.29,0.47,1.19,1.86,0.45,0.17,2.64,0.28,0.84
04-Jan,,0.27,3.15,0.28,0.8,0.28,0,0.03,0.46,0.22,0.22,0.26,0.29,0.46,0.29,0.29,0.69,0.29,0.53,0.29,0.93,0.42,0.83,1.19,0.28,0.24
05-Jan,,0.37,0.29,0.28,2.3,0.34,0.01,0.07,0.25,0.25,0.22,0.28,0.29,0.23,0.29,0.29,0.8,0.29,0.41,0.28,0.16,0.19,3.81,0.03,0.45,0.11
06-Jan,,0.05,0.16,0.14,0.34,0.13,0.09,0.13,0.07,0.13,0.02,0.08,0.04,0.14,0.14,0.16,0.08,0.14,0.03,0,3.28,0.12,0.72,0.07,0.29,0.14
07-Jan,,1.53,0.52,0.14,0.15,0.2,0.47,0.14,0.07,0.13,0.02,0.07,0.04,0.13,0.13,0.13,0.24,0.13,0.03,0.11,11.95,0.12,0.1,0.07,0.12,0.14
08-Jan,,1.4,0.17,0.14,0.23,0.09,0.08,0.14,0.07,0.13,0.02,0.18,0.04,0.14,0.14,0.13,0.04,0.13,0.03,0.47,5.99,0.12,0.13,0.43,0.09,0.14
09-Jan,,3.13,0.02,0.14,0.04,0.09,0.19,0.13,0.21,0.13,0.03,1.87,0.04,0.13,0.13,0.13,0.03,0.13,0.04,0.08,0.11,0.12,0.22,0.09,0.09,0.14
10-Jan,,5.85,0.03,0.14,0.03,0.17,0.1,0.14,0.25,0.16,0.82,0.06,1.52,0.14,0.13,0.13,9.32,0.13,0.55,0.12,0.47,0.21,0.09,0.21,0.09,0.14
11-Jan,,0.21,0,0.03,0.01,0.02,0.05,0.01,1.03,0.01,0.17,0.03,0.05,0,0.03,0.04,3.37,0.03,0.22,0.02,0.03,0.1,0.03,0.04,0.02,0.03
12-Jan,,0.01,0.07,0.03,0.85,0.02,0.06,0.02,0.33,0.01,0.01,0.03,0.03,0.32,0.03,0.03,0.03,0.03,0.03,0.01,0.76,0.02,0.03,0.04,0.02,0.05
13-Jan,,0.04,0.5,0.03,0.61,0.04,0.09,0.03,0.41,0.22,0.01,0.03,0.03,0,0.03,0.03,0.01,0.03,0.21,0.01,10.11,0.02,0.03,0.03,0.1,0.03
14-Jan,,0,0.1,0.04,0.3,0.07,0.05,0.82,0.14,0.33,0.01,0.03,0.03,0.16,0.03,0.03,,0.03,0.03,0.19,0.4,0.02,0.03,0.03,0.02,0.03
15-Jan,,0,1.79,0.03,0.21,0.02,0.03,1.06,4.82,0.39,0.03,0.03,0.03,0.07,0.07,0.03,0.03,0.03,0.12,0.2,0,0.02,0.03,0.03,0.03,0.03
16-Jan,,0,0.93,0,1,0,0.01,0.04,0.22,0.31,0,0.01,0,0.07,0,0.01,0.01,0,0.2,0,0,0,0,0.01,0.07,0
17-Jan,,0,0.1,0.04,0.02,0,0.04,0,2.17,0.11,0,0.01,0,0.01,0,0.01,0,0,0.05,0,0,0,0.81,0,1.82,0.01
18-Jan,,0,0.17,0.14,0.04,0,0.01,0.11,0.37,0,0,0.01,0,0,0,0.01,0,0,0.05,0,0,0,2.33,0,4.8,0
19-Jan,,0,0.01,0,0,0.01,0.08,0,0.77,0,0,0.01,0,0,0,0.01,0,0,0.05,0,0.01,0,0.16,0,0.56,0
20-Jan,,0.01,0,0,0.01,0,0.08,0,2.32,0,0,0.02,0,0,0.01,0.05,0.01,0,0.05,0,0,0,0.06,0,0.95,0
21-Jan,,0.56,0,0.01,0.01,0,0.15,0,0.21,0.01,0,0,0,0,0,0,0.02,0,0,0.01,0,0.93,4.45,0,0.02,0
22-Jan,,2.07,0,0.01,0.02,0,0.01,0,0.07,0.14,0,0.21,0,0,0,0.02,0.01,0,0,0.01,0.01,0.55,1.54,0.89,0.01,0
23-Jan,,0.01,0.36,0.15,0.04,0,0,0,0.03,0.01,0.01,2.3,0,0,0.01,0,0,0,0,0.01,0.19,0.03,0.59,0.01,0.01,0
24-Jan,,0.27,7.09,0.26,0.03,0.01,0,0.01,0.01,0,0,0.08,0,0,0,0,0,0,0,0.01,1.42,0.11,0.07,0,0.01,0
25-Jan,,0.02,0.07,0.01,0.01,0,0,0.05,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0.01,3.47,0,0.07,0,0.2,0
26-Jan,,0.02,0.42,0,0.12,0.02,0,0,0.09,1.1,0,0.02,0,0.01,0,0,0,0,0.01,0,8.51,0,0,0,0.01,0
27-Jan,,0.09,0.45,0,0.01,0,0,0.01,5.73,0.08,0,0,0,0,0,0,0.01,0,0.01,0,3.96,0,0,0,0,0
28-Jan,,0.02,0.19,0,0.21,0.01,0.01,0,0.14,0.09,0,0,0.01,0,0,0,0.01,0,0.01,0,0.67,0,0,0,0,0.01
29-Jan,,0,0.01,0,3.47,0.32,0,0,0.02,0,0,0,0.02,0,0,0,0,0.01,0.01,0,1,0.01,0,0.01,0,0.01
30-Jan,,0,0.01,0,1.24,0.02,0.01,0.01,0.03,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.13,0,0,0,0.01,0
31-Jan,,0,0.01,0.01,0.46,0.02,0,0,0.05,0,0.01,0,0,0,0,0,,0.07,0.01,0,0.01,0,0,0,0.01,0.01
01-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,
