,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,0.463234071,0.464029334,0.427425075,0.349793184,0.56658775,0.471479281,0.384621146,0.421416237,0.339567636,0.480824919,0.522989391,0.44921745,0.429994384,0.546676871,0.416247439,0.314258369,0.400402893,0.646388186,0.47756394,0.563035432,0.411634717,0.608168928,0.454297282,0.364940134
2,0.431598335,0.43364869,0.398182845,0.335572463,0.528170532,0.447383107,0.361456137,0.405225517,0.323624188,0.445059712,0.474854408,0.398119214,0.380165836,0.481482676,0.373172291,0.291478602,0.369922205,0.610311489,0.441923279,0.520816124,0.367241711,0.55575669,0.399760103,0.32591694
3,0.403913583,0.407461426,0.374701564,0.324613462,0.492220573,0.425691239,0.341400838,0.396497858,0.309948805,0.409435345,0.418751265,0.356972067,0.343665508,0.424041956,0.341086386,0.275211846,0.342941374,0.577164842,0.408678623,0.463866554,0.330959032,0.50520768,0.360993409,0.304669286
4,0.381704736,0.385806034,0.355568883,0.317005116,0.459118856,0.408371423,0.326757165,0.395347872,0.300951348,0.394931648,0.375124238,0.328723801,0.319877583,0.381584201,0.317004654,0.265503061,0.330387927,0.547710056,0.373672267,0.406927167,0.303598761,0.458124799,0.336636446,
5,0.365847539,0.369876441,0.341897851,0.314290987,0.432941714,0.398885594,0.318627058,0.402421495,0.296727356,0.37881323,0.343349267,0.315409312,0.30343632,0.359992933,0.302299541,0.264934703,0.323775613,0.513072308,0.34659386,0.362266645,0.28539379,0.421952625,0.321545937,
6,0.357792079,0.360614554,0.334539493,0.317041468,0.413930524,0.398616875,0.317997291,0.416055497,0.29660821,0.359592509,0.329333757,0.314702953,0.293802861,0.351711155,0.295313927,0.279069821,0.318812551,0.48018611,0.331029976,0.336510541,0.276577351,0.395776903,0.314976702,
7,0.357191535,0.358202841,0.33418548,0.325004752,0.401605186,0.405902869,0.322902029,0.435160096,0.30093993,0.338653165,0.33967339,0.329048343,0.297876386,0.349815217,0.295969956,0.314768898,0.315874139,0.455448379,0.328429685,0.321853661,0.281049757,0.386499401,0.326271539,
8,0.363356303,0.3613136,0.34016778,0.336961636,0.396242902,0.417294511,0.333078943,0.457365733,0.30860879,0.326608025,0.379657775,0.362850742,0.324332708,0.348915558,0.305473128,0.366446232,0.31582458,0.4522007,0.338618171,0.31748096,0.308921452,0.391559021,0.366166434,
9,0.376214111,0.366850513,0.34959183,0.351516528,0.396834436,0.432918847,0.345962797,0.478155411,0.319262257,0.326023681,0.449361407,0.404537673,0.376963179,0.350775761,0.3212633,0.430676581,0.320411873,0.466623115,0.355262794,0.324336534,0.354690979,0.424225504,0.423425519,
10,0.393886427,0.372994143,0.361138507,0.366601976,0.400733299,0.448709421,0.360972826,0.489693417,0.331303077,0.336131903,0.520641587,0.446022848,0.450600976,0.361456075,0.342531229,0.494293702,0.331074104,0.495540524,0.384008566,0.336551522,0.405573389,0.475973721,0.478008708,
